DeptID,Name,HospitalID
DEPT001,Emergency,HOSP-A
DEPT002,Cardiology,HOSP-A
DEPT003,Neurology,HOSP-A
DEPT004,Oncology,HOSP-A
DEPT005,Pediatrics,HOSP-A
DEPT006,Orthopedics,HOSP-A
DEPT007,Dermatology,HOSP-A
DEPT008,Gastroenterology,HOSP-A
DEPT009,Urology,HOSP-A
DEPT010,Radiology,HOSP-A
DEPT011,Anesthesiology,HOSP-A
DEPT012,Pathology,HOSP-A
DEPT013,Surgery,HOSP-A
DEPT014,Pulmonology,HOSP-A
DEPT015,Nephrology,HOSP-A
DEPT016,Ophthalmology,HOSP-A
DEPT017,Gynecology,HOSP-A
DEPT018,Psychiatry,HOSP-A
DEPT019,Endocrinology,HOSP-A
DEPT020,Rheumatology,HOSP-A
